Date,CVX,XOM,IBM,GE,MSFT,MMM,WMT,BA,VZ,UNH,AAPL,TRV,MCD,KO,JPM,HD,NKE,DIS,JNJ,PFE,UTX,CSCO,DD,MRK,PG,AXP,CAT,INTC,GS
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-28,1.11088133601,1.35182179105,0.840676507902,0.863258570183,0.85141785471,0.856695952376,0.79870148996,0.878330657671,0.692664148401,0.903166335557,1.90939915969,0.98384238729,1.03281535083,0.685152892304,0.917893937081,1.28901510085,0.8465953363,0.838645286252,0.544535399604,0.874367599768,1.00018872546,0.958856900623,0.990935094559,0.623551033853,0.783826252543,1.02922804108,1.44378846524,1.10709363339,1.21438616907
2006-03-31,1.15447302747,1.36404091285,0.87864937564,0.823214830322,0.82812589179,0.88459823899,0.80214963378,0.868934935098,0.706022459133,0.943908208408,1.98466606395,0.978074192267,0.959617668724,0.678340748313,0.894653186359,1.28269955916,0.830187264493,0.826173058707,0.523256098039,0.796707911892,0.989314755422,1.04225121612,0.96777551273,0.634739688611,0.686606842647,0.996971878966,1.44399941859,1.07838281483,1.24852300151
2006-04-28,1.16015486455,1.31550952675,0.749728814028,0.860896799855,0.765710772494,0.82764346464,0.839459462423,0.81113663858,0.711691700898,0.897147295998,1.7051289349,0.97247471784,1.0069891309,0.681149999326,0.931560968656,1.25916863714,0.718622790342,0.764293028117,0.565897731788,0.896306437498,0.99835428348,1.0235663847,0.861719420365,0.739946454961,0.670604163683,1.08203503158,1.49064752243,1.06764317121,1.30041691177
2006-05-31,1.19707641404,1.27235947919,0.658192256263,0.795750799185,0.750018699622,0.734116886563,0.882141292466,0.875721269994,0.791075650702,0.857725933697,1.64444045935,0.939472040582,0.961502137241,0.685995547358,0.9579304072,1.17098647599,0.620139026906,0.742843738135,0.534152955794,0.890557164507,0.910118985071,1.02080031823,0.809094365893,0.852852242995,0.68337840336,1.07839040288,1.46448808586,1.10999088669,1.40832285859
2006-06-30,1.15238958356,1.22824762297,0.561512046079,0.715362588886,0.740837628387,0.749383180137,0.781557109763,0.933980733039,0.787808192806,0.800839441111,1.5944842361,0.932781677324,1.01943597378,0.611019671806,1.01922027837,1.03874005919,0.572002857114,0.720636419661,0.488216278252,0.859205987518,0.894704627611,1.08949276741,0.84309527871,0.808012255977,0.608939475181,1.07602704346,1.47827880094,1.06270946388,1.49585328899
2006-07-31,1.03069224789,1.10538871673,0.603495973466,0.699721958222,0.763826023093,0.707633154509,0.821884040435,1.08806561411,0.824006141532,0.814813746346,1.43769914481,0.9392061958,0.992649830681,0.559800934107,1.11834067752,1.01725699632,0.501825989661,0.766851995677,0.419206936609,0.874914897767,0.960950739387,1.09241147668,0.831455147513,0.774677297994,0.619713607534,1.07075922922,1.45626553379,1.15665577252,1.53035149067
2006-08-31,0.976740708662,1.02703663632,0.608681975999,0.698365467248,0.733288281415,0.7305218032,0.800386801558,1.05897300523,0.833044517768,0.759983475094,1.48991499477,0.953136906405,0.998572284926,0.531128334371,1.12094013791,1.03701411922,0.478432159845,0.786322470809,0.387235809097,0.846132392708,0.974702506671,1.05297220736,0.848732455933,0.740193828895,0.628778749728,1.05989897067,1.47463227698,1.15629579843,1.49775007831
